"choice1","choice2","choice3","choice4","choice5","answer"
1,3,5,7,10,10
1,3,5,7,11,10
1,3,5,8,10,10
1,3,5,8,11,10
1,3,5,9,10,10
1,3,5,9,11,10
1,3,6,7,10,10
1,3,6,7,11,10
1,3,6,8,10,10
1,3,6,8,11,10
1,3,6,9,10,10
1,3,6,9,11,10
1,4,5,7,10,10
1,4,5,7,11,10
1,4,5,8,10,10
1,4,5,8,11,10
1,4,5,9,10,10
1,4,5,9,11,10
1,4,6,7,10,10
1,4,6,7,11,10
1,4,6,8,10,10
1,4,6,8,11,10
1,4,6,9,10,10
1,4,6,9,11,10
2,3,5,7,10,10
2,3,5,7,11,10
2,3,5,8,10,10
2,3,5,8,11,10
2,3,5,9,10,10
2,3,5,9,11,10
2,3,6,7,10,10
2,3,6,7,11,10
2,3,6,8,10,10
2,3,6,8,11,10
2,3,6,9,10,10
2,3,6,9,11,10
2,4,5,7,10,10
2,4,5,7,11,10
2,4,5,8,10,10
2,4,5,8,11,10
2,4,5,9,10,10
2,4,5,9,11,10
2,4,6,7,10,10
2,4,6,7,11,10
2,4,6,8,10,10
2,4,6,8,11,10
2,4,6,9,10,10
2,4,6,9,11,10
