"choice1","choice2","choice3","choice4","choice5","answer"
"[243]","[246]","[248]","[250]","[251]",55
"[243]","[246]","[248]","[250]","[251]",55
"[243]","[246]","[248]","[250]","[251]",55
244,247,249,252,253,56
244,247,249,252,253,56
"[243,244]","[246,247]","[249]","[252]","[253]",57
"[243]","[246]","[248]","[250]","[251]",55
244,247,249,252,253,56
"[243,244]","[246,247]","[249]","[252]","[253]",57
"[243]","[246]","[248]","[250]","[251]",55
"[243]","[246]","[248]","[250]","[251]",55
"[243]","[246]","[248]","[250]","[251]",55
244,247,249,252,253,56
244,247,249,252,253,56
"[243,244]","[246,247]","[249]","[252]","[253]",57
"[243]","[246]","[248]","[250]","[251]",55
244,247,249,252,253,56
"[243,244]","[246,247]","[249]","[252]","[253]",57
